Date,Open,High,Low,Close,Volume,Adj Close
2010-01-28,544.490921,547.000908,530.600893,534.290888,6482300,266.878565
2010-01-27,541.270944,547.65092,535.310934,542.100949,7958400,270.779695
2010-01-26,537.970896,549.600954,536.290913,542.420931,8743600,270.939526
2010-01-25,546.590929,549.880931,535.5109,540.000941,8872800,269.73074
2010-01-22,564.50098,570.600979,534.860888,550.010933,13651700,274.730736
2010-01-21,583.441002,586.821,572.251003,582.98097,12662600,291.199286
2010-01-20,585.981009,585.981009,575.290986,580.411005,6525700,289.915587
2010-01-19,581.201005,590.420997,576.290999,587.620986,8665700,293.516976
2010-01-15,593.341025,593.561024,578.041006,580.000965,10909600,289.710772
2010-01-14,583.900972,594.200988,582.811024,589.850997,8511900,294.630868
2010-01-13,576.490965,588.381027,573.900966,587.090991,13041800,293.252243
2010-01-12,597.651011,598.161034,588.001007,590.481036,9742900,294.945572
2010-01-11,604.46106,604.46106,594.041028,601.11102,14479800,300.255255
2010-01-08,592.000997,603.251034,589.110988,602.021036,9483900,300.709808
2010-01-07,609.401025,610.001045,592.651008,594.101005,12876600,296.753749
2010-01-06,625.861078,625.861078,606.361042,608.261023,7987100,303.826685
2010-01-05,627.181073,627.841071,621.541045,623.991055,6031900,311.683844
2010-01-04,626.951088,629.511067,624.241073,626.751061,3927000,313.062468
2009-12-31,624.751096,625.401047,619.981079,619.981079,2448700,309.680858
2009-12-30,618.501062,622.731037,618.011072,622.731037,2942100,311.054464
2009-12-29,624.741049,624.841093,618.291049,619.401092,2860200,309.391155
2009-12-28,621.661061,625.99108,618.48109,622.871087,3408400,311.124419
2009-12-24,612.931058,619.521047,612.271061,618.48109,1723800,308.931613
2009-12-23,603.501053,612.871081,602.851041,611.681027,4160800,305.534978
2009-12-22,601.341005,601.501027,598.851051,601.121006,3775600,300.260243
2009-12-21,597.611006,599.841017,595.671019,598.681044,5161600,299.04148
2009-12-18,596.031006,598.931001,595.001035,596.421013,7089400,297.912594
2009-12-17,596.441047,597.641025,593.76099,593.941045,5297300,296.673849
2009-12-16,598.601033,600.371012,596.641012,597.761042,5639800,298.581939
2009-12-15,593.30102,596.381008,590.990998,593.140998,4577800,296.274225
2009-12-14,595.351037,597.310996,592.611003,595.730996,3841100,297.56793
2009-12-11,594.680992,594.751017,587.731016,590.510994,3452800,294.960537
2009-12-10,590.441031,594.711011,590.411011,591.501021,3349000,295.455055
2009-12-09,587.501031,589.330988,583.58099,589.020992,3575200,294.21628
2009-12-08,583.500979,590.66103,582.000991,587.050985,3059300,293.23226
2009-12-07,584.21103,588.691024,581.000978,586.250999,3284500,292.832667
2009-12-04,593.021043,594.831028,579.181007,585.011015,5046000,292.213294
2009-12-03,589.041025,591.45103,585.001029,585.740976,2868000,292.57791
2009-12-02,591.000984,593.010996,586.22098,587.511017,3338800,293.462046
2009-12-01,588.131009,591.220983,583.001004,589.87103,4657900,294.640874
2009-11-30,580.631004,583.670987,577.111018,583.001004,3463000,291.209293
2009-11-27,572.000985,582.461022,570.970952,579.760994,2779500,289.590906
