Date,Open,High,Low,Close,Volume,Adj Close
2009-10-08,122.519997,122.980003,121.849998,122.290001,6498000,102.39976
2009-10-07,121.120003,122.849998,120.940002,122.779999,5872000,102.81006
2009-10-06,120.389999,121.589996,120.220001,121.349998,6659100,101.612647
2009-10-05,118.900002,120.18,118.129997,119.75,5673300,100.272885
2009-10-02,117.400002,119.660004,117.260002,119.019997,7581900,99.661615
2009-10-01,119.389999,119.610001,117.559998,117.900002,7067500,98.723785
2009-09-30,119.18,120.00,117.550003,119.610001,7733300,100.155656
2009-09-29,119.360001,119.940002,118.599998,118.809998,6748800,99.485772
2009-09-28,120.519997,122.00,118.940002,119.330002,8248600,99.921199
2009-09-25,120.269997,121.650002,120.099998,121.080002,5187900,101.386565
2009-09-24,120.690002,121.650002,120.400002,120.940002,5426800,101.269336
2009-09-23,121.260002,122.739998,120.709999,120.82,5538100,101.168851
2009-09-22,122.089996,122.110001,120.980003,121.610001,5564700,101.83036
2009-09-21,121.029999,122.080002,120.879997,121.57,4515100,101.796865
2009-09-18,122.449997,122.879997,121.620003,122.110001,9935800,102.249036
2009-09-17,121.139999,122.779999,121.050003,121.879997,8392600,102.056442
2009-09-16,119.50,122.00,119.300003,121.82,11236700,102.006203
2009-09-15,118.779999,119.449997,118.160004,119.349998,6536000,99.937943
2009-09-14,117.00,118.989998,116.940002,118.879997,4758600,99.544387
2009-09-11,117.800003,119.25,117.470001,118.050003,5893700,98.849389
2009-09-10,116.989998,117.830002,116.75,117.669998,4889400,98.531192
2009-09-09,117.029999,117.669998,116.160004,116.760002,5248100,97.769205
2009-09-08,117.940002,118.169998,116.629997,117.160004,5797500,98.104147
2009-09-04,116.580002,117.50,116.209999,117.459999,3451700,98.355349
2009-09-03,116.550003,116.730003,115.150002,116.330002,4936200,97.409143
2009-09-02,116.339996,117.239998,116.00,116.089996,5178800,97.208174
2009-09-01,117.669998,118.93,116.50,116.690002,6303800,97.71059
2009-08-31,117.099998,118.059998,116.919998,118.050003,5439400,98.849389
2009-08-28,120.099998,120.230003,117.769997,118.220001,6235700,98.991738
2009-08-27,118.730003,119.589996,117.849998,119.43,4356900,100.004933
2009-08-26,118.639999,119.849998,117.510002,119.470001,4515500,100.038428
2009-08-25,119.25,120.150002,118.709999,118.830002,4652200,99.502523
2009-08-24,119.919998,120.879997,119.099998,119.32,6363400,99.912824
2009-08-21,119.650002,120.010002,118.550003,119.900002,8306800,100.398489
2009-08-20,118.440002,119.410004,118.099998,118.949997,4841700,99.603001
2009-08-19,116.360001,118.769997,116.120003,118.57,4837900,99.28481
2009-08-18,116.809998,118.00,116.730003,117.629997,4286200,98.497697
2009-08-17,116.690002,117.440002,116.209999,116.860001,5349600,97.852939
2009-08-14,119.290001,119.739998,117.620003,118.57,4796400,99.28481
2009-08-13,119.279999,119.779999,118.629997,119.580002,5489200,100.130537
2009-08-12,117.599998,119.959999,117.419998,119.290001,6289700,99.887704
2009-08-11,118.029999,118.50,117.32,117.790001,4844500,98.631676
2009-08-10,118.169998,119.190002,117.970001,118.699997,3981300,99.393663
2009-08-07,118.110001,119.910004,118.110001,119.330002,5763200,99.921199
2009-08-06,118.309998,118.400002,116.699997,117.379997,6003100,98.288359
2009-08-05,118.519997,119.00,117.860001,118.470001,5025800,98.740534
2009-08-04,119.169998,119.800003,119.019997,119.599998,4993500,99.682346
2009-08-03,118.879997,119.959999,118.690002,119.919998,6108200,99.949055
2009-07-31,117.559998,118.989998,117.559998,117.93,5329600,98.290462
2009-07-30,118.00,119.370003,117.669998,117.860001,6803100,98.23212
2009-07-29,116.360001,117.279999,116.050003,117.260002,5100900,97.732042
2009-07-28,116.629997,117.519997,116.339996,117.279999,5782900,97.748709
2009-07-27,116.949997,117.919998,116.57,117.629997,5069200,98.04042
2009-07-24,116.68,118.150002,116.629997,117.639999,6261000,98.048757
2009-07-23,115.059998,118.00,115.059998,117.059998,8461400,97.565346
2009-07-22,116.18,117.199997,115.089996,115.57,8813400,96.323486
2009-07-21,115.870003,117.040001,115.379997,117.040001,8301700,97.548679
2009-07-20,114.529999,116.879997,114.389999,116.440002,10682500,97.048602
2009-07-17,113.410004,115.529999,113.160004,115.419998,20188900,96.198465
2009-07-16,106.839996,110.970001,106.790001,110.639999,14997900,92.214506
2009-07-15,104.75,107.220001,104.599998,107.220001,8699100,89.364059
2009-07-14,103.419998,103.620003,102.519997,103.25,5413500,86.055204
2009-07-13,101.279999,103.650002,100.190002,103.620003,9494300,86.363588
2009-07-10,100.970001,101.720001,99.800003,100.830002,7465900,84.038221
2009-07-09,101.120003,102.779999,100.849998,102.080002,6153200,85.080052
2009-07-08,100.290001,101.169998,99.50,100.68,7380800,83.9132
2009-07-07,101.339996,101.959999,100.029999,100.190002,6685600,83.504805
2009-07-06,101.57,102.230003,100.470001,101.650002,6522500,84.721662
2009-07-02,103.800003,103.910004,101.730003,101.730003,7026700,84.788341
2009-07-01,105.00,106.269997,104.730003,104.839996,5537300,87.380409
2009-06-30,105.690002,106.029999,103.809998,104.419998,7512600,87.030356
2009-06-29,105.989998,106.18,105.160004,105.830002,4681800,88.205544
2009-06-26,106.50,106.50,105.050003,105.68,5127900,88.080523
2009-06-25,103.699997,106.790001,103.510002,106.059998,6900600,88.397237
2009-06-24,105.389999,106.480003,103.720001,104.150002,6395200,86.805323
2009-06-23,104.75,104.870003,103.790001,104.440002,5152600,87.047029
2009-06-22,105.18,105.879997,104.230003,104.519997,7295400,87.113701
2009-06-19,106.309998,106.650002,105.50,105.889999,13559000,88.255549
2009-06-18,106.93,107.529999,106.120003,106.330002,6206900,88.622276
2009-06-17,107.459999,107.879997,106.879997,107.00,7366200,89.180695
2009-06-16,108.470001,109.139999,107.269997,107.32,7231000,89.447404
2009-06-15,107.629997,108.830002,107.239998,107.620003,8567600,89.697446
2009-06-12,108.400002,109.279999,107.75,108.209999,7250900,90.189187
2009-06-11,108.75,110.639999,108.559998,109.400002,9134300,91.181011
2009-06-10,109.199997,109.279999,107.050003,108.349998,7578100,90.305871
2009-06-09,108.150002,109.139999,107.989998,108.139999,8585900,90.130844
2009-06-08,106.639999,107.980003,105.50,107.489998,6363800,89.589091
2009-06-05,107.330002,108.400002,106.75,107.239998,7665000,89.380725
2009-06-04,106.169998,106.870003,105.599998,106.330002,5468500,88.622276
2009-06-03,106.529999,106.599998,105.110001,106.489998,7688000,88.755627
2009-06-02,107.510002,108.800003,106.660004,106.830002,7045800,89.039008
2009-06-01,106.940002,108.669998,106.669998,108.370003,7725000,90.322544
2009-05-29,104.470001,106.50,103.949997,106.279999,6871800,88.5806
2009-05-28,103.339996,105.139999,102.68,104.690002,6127500,87.255395
2009-05-27,104.339996,105.169998,102.910004,102.93,7119600,85.788495
2009-05-26,101.32,105.629997,101.019997,105.019997,7211200,87.530433
2009-05-22,102.669998,103.309998,101.75,101.889999,5596200,84.921692
2009-05-21,103.07,103.25,101.739998,102.82,7411500,85.696814
2009-05-20,105.510002,105.980003,103.809998,104.050003,7083100,86.721978
2009-05-19,104.330002,106.120003,104.00,105.510002,7079200,87.938835
2009-05-18,102.00,104.709999,101.940002,104.580002,7429500,87.163713
2009-05-15,100.900002,103.07,100.57,101.370003,8367400,84.488293
2009-05-14,101.720001,102.709999,100.769997,101.050003,9445100,84.221585
2009-05-13,102.879997,103.099998,101.349998,102.260002,8202100,85.230076
2009-05-12,102.980003,104.379997,102.370003,103.940002,7961600,86.630296
2009-05-11,101.089996,103.879997,100.949997,102.900002,8253000,85.763493
2009-05-08,103.580002,103.75,99.830002,101.489998,11575500,84.588305
2009-05-07,104.650002,104.800003,101.830002,102.589996,8521400,85.505114
2009-05-06,105.230003,105.50,103.709999,104.620003,7530900,87.197052
2009-05-05,106.00,106.82,105.510002,105.849998,6750000,87.763806
2009-05-04,105.260002,106.75,104.610001,106.190002,8313900,88.045715
2009-05-01,103.779999,104.860001,102.940002,104.610001,6234200,86.735682
2009-04-30,104.550003,106.050003,102.849998,103.209999,10654500,85.574893
2009-04-29,101.980003,105.00,101.669998,104.040001,9783700,86.263076
2009-04-28,99.360001,102.730003,99.25,101.940002,11110500,84.521896
2009-04-27,99.610001,101.690002,99.290001,99.949997,8611400,82.871916
2009-04-24,101.169998,101.580002,99.50,100.080002,10157500,82.979707
2009-04-23,102.650002,102.779999,99.800003,101.419998,9440400,84.090743
2009-04-22,101.169998,103.860001,101.059998,102.550003,12120000,85.027668
2009-04-21,98.410004,102.480003,98.199997,102.309998,15226700,84.828672
